Full committee chairman|Darrell Issa|{'relation': 'is being here'}
farms and ranches|Federal Government|{'relation': 'make it very challenging for'}
Chairman Comer|United States|{'relation': 'is a chairman of'}
Renewable energy|is a global issue|{'relation': 'has prospered due to abundant energy'}
new resources|grid|{'relation': 'are renewable'}
Government Accountability Office|Congress|{'relation': 'works with'}
pharmaceutical|supply|{'relation': 'is needed in the United States'}
regulation|business|{'relation': 'is a type of'}
securing|safety|{'relation': 'safety begins with'}
FEMA's Hazard Mitigation Assistance programs|particularly the Building Resilient Infrastructure and Communities (BRIC|{'relation': 'have the potential to play a pivotal role in this effort by empowering communities to take proactive steps toward resilience'}
energy options|kept on the table|{'relation': 'we can ensure reliable and affordable energy'}
Representatives Foxx|Committee on Oversight and Accountability|{'relation': 'are members of'}
vaccine ethics|Dr. Marks|{'relation': 'is concerned about'}
State and local communities|families|{'relation': 'are best equipped to help'}
advance funding|IHS|{'relation': 'our tribal members can get the healthcare they need'}
energy production|industry abroad|{'relation': 'will be driven to'}
READINESS LEVELS|National Guard|{'relation': 'has a connection to'}
defense budget|national security|{'relation': 'is part of'}
Biden Administration|United States|{'relation': 'implement'}
citizens|Congress|{'relation': 'has a duty to cooperate with'}
U.S. critical infrastructure|possible disruptive cyber|{'relation': 'are being pre'}
tribes and state and local governments|fee|{'relation': 'could be reformed to benefit'}
Ways and Means Committee|field hearings|{'relation': 'held'}
Chinese students|China|{'relation': 'have a lot of connections'}
Duplicative, conflicting, or unnecessary regulations|companies|{'relation': 'require to devote more resources to fulfilling technical compliance requirements without improving cybersecurity outcomes'}
U.S. interests|security|{'relation': 'is threatened by'}
important wildlife habitat|Bureau of Land Management (BLM|{'relation': 'is contained in'}
disasters|FEMA|{'relation': 'ensures communities can recover quickly'}
veteran's medications|VA pharmacy|{'relation': 'information comes from'}
taxes|Senator Van Hollen|{'relation': 'has a problem with'}
proposed bill|legislation|{'relation': 'seek to allow'}
Beijing's state|Chinese government|{'relation': 'is tasked by'}
Fiscal year 2024|Government of the United States|{'relation': 'is related to'}
Subcommittee|tribal members|{'relation': 'so that you can do what is in the best interest'}
drugs|patients|{'relation': 'has been picked up by'}
wildlife management tools|threatened species|{'relation': 'use to conserve'}
national forest|BLM authority|{'relation': 'is subject to'}
table|Senator Van Hollen|{'relation': 'has been pointed out by'}
Administrative Procedures Act|federal agencies|{'relation': 'regulates'}
farmers' financial stability|agriculture|{'relation': 'is related to'}
Maine veterans' homes|veterans housing|{'relation': 'has serious need of funding'}
Military service|Recruiting|{'relation': 'is clearly conveying the full range of opportunities and benefits of'}
Representatives Scholten|Committee on Small Business|{'relation': 'is a member of'}
contracts|small businesses|{'relation': 'made it harder for'}
legislation|proposals|{'relation': 'will be considered'}
nonrelative foster care|kinship foster care|{'relation': 'increase in'}
Flood Mitigation Assistance Grant Program|FEMA|{'relation': 'is part of'}
Future of AI Innovation Act|AI Safety Institute|{'relation': 'would authorize'}
Accountability|Chinese officials|{'relation': 'should be held'}
urban agriculture|new and beginning farmers|{'relation': 'are seeking'}
borrowing rates|inflation|{'relation': 'is trying to control'}
Childcare|Families|{'relation': 'is a barrier to accessing'}
Committee on the Budget|Washington, DC|{'relation': 'is located in'}
Department of Labor|Veterans Affairs|{'relation': 'are also advanced appropriations for programs at'}
public health system|pandemic response efforts|{'relation': 'works to prevent and end'}
support for American's farmers|agencies|{'relation': 'impacts'}
medical emergencies|fire and emergency service|{'relation': 'respond to'}
higher level of care|Vet Center|{'relation': 'are making connections for'}
youths age out of foster care program|success|{'relation': 'are they ready for'}
appropriations team|Budget Committee|{'relation': 'works with'}
critical infrastructure entities|cyber insurance policies|{'relation': 'are being discussed about'}
bipartisan support|infrastructure|{'relation': 'has'}
Association of Fish and Wildlife Agencies|state fish and wildlife agencies|{'relation': 'represents'}
Representatives Phillips|Committee on Small Business|{'relation': 'is a part of'}
International Borders|Cartels|{'relation': 'are controlled by'}
accessibility|disabled individuals|{'relation': 'is associated with'}
accuracy|Derek Kilmer|{'relation': 'talked about'}
military service members|Department of Defense|{'relation': 'has lucrative skills for'}
employee with a disability|essential functions of the job|{'relation': 'can perform with or without reasonable accommodations'}
Subcommittee on Aviation|Committee on Transportation and Infrastructure|{'relation': 'is part of'}
local|Tribal|{'relation': 'and'}
taxation|small businesses|{'relation': 'should not be narrowed down to'}
Crop|Farm|{'relation': 'is related to'}
Nation's security posture|security|{'relation': 'can be significantly enhanced'}
Representative Kilmer|Committee on House Administration|{'relation': 'are members of'}
renewable energy|wind power|{'relation': 'can produce from'}
Coast Guard and Maritime Transportation Subcommittee|Committee on Transportation and Infrastructure|{'relation': 'is a part of'}
legislation|legislation|{'relation': 'will create'}
297 grant funding|Tribes|{'relation': 'is specifically for'}
Chinese spying|American society|{'relation': 'is a threat to'}
travel assistance|veteran|{'relation': 'is a type of'}
fiscal year 2024 appropriations|deficit|{'relation': 'get extended out in our budget projections by statute'}
tax cut|growth in the right direction|{'relation': 'is moving'}
achievements|Tribal businesses|{'relation': 'deserve a seat at the table to advocate for'}
FDA|oversight mechanisms|{'relation': 'has'}
Fiscal Year 2025 budget request|Administration|{'relation': 'has submitted'}
U.S. energy|areas|{'relation': 'should be exported to'}
legislative branch appropriations bill|bipartisan manner|{'relation': 'need to work in'}
Uniform procedure|National Wildlife Refuge System Improvement Act|{'relation': 'authorizes uses of refuge land'}
the border|Customs and Border Patrol|{'relation': 'are guarding'}
Congress|support|{'relation': 'will be needed'}
6.5 million vet patients|VA|{'relation': 'had clinical visits at'}
inflation|Mr. Part|{'relation': 'has been mentioned in relation to'}
Witnesses|hearings|{'relation': 'I look forward to hearing from each of our'}
SBIC programs|small businesses|{'relation': 'are often overlooked'}
budgetary restrictions|inflation|{'relation': 'is affected by'}
Members of the Committee|Mr. Kirschner|{'relation': 'has been recognized by'}
Committee on Armed Services|Subcommittee on Military Personnel|{'relation': 'has a chairman'}
higher debt|interest rates|{'relation': 'drives up'}
Committee members|hearing record|{'relation': 'may submit to'}
regulation|states|{'relation': 'would be useful for'}
Demand|renewables|{'relation': 'leads to a huge buildout of'}
Democratic Staff|Committee on the Budget|{'relation': 'are present at'}
Rep. Moore|Committee|{'relation': 'is a member of'}
Subcommittee on Coast Guard and Maritime|Committee on Transportation and Infrastructure|{'relation': 'is a part of'}
several key legislative recommendations|Older Americans Act|{'relation': 'further enhance the support and services provided to'}
economy|oil and gas|{'relation': 'promotes'}
taxpayer funds|FEMA|{'relation': 'is being spent by'}
military readiness|national security|{'relation': 'is related to'}
interest rates|the national debt|{'relation': 'will cost hundreds of billions more'}
federal funding|tribal justice systems|{'relation': 'undermines public safety'}
National Forest System|Forest Service|{'relation': 'is managed by'}
Homeland Security and Justice Team|subcommittee|{'relation': 'has given testimony'}
Defense partners|trained and capable cyber work force|{'relation': 'are working to ensure'}
compliance costs|regulations|{'relation': 'is going to add'}
local wildlife refuges|working lands project|{'relation': 'is the cornerstone of'}
state wildlife agencies|wildlife|{'relation': 'have authority over'}
State departments of agriculture|agriculture|{'relation': 'advocate for'}
supply chain disruptions|farmers|{'relation': 'are forcing them to receive lower commodity prices'}
https://www.amnesty.org/en/latest/news/2024/01/china|China|{'relation': 'has link'}
transition age foster youth|child welfare systems|{'relation': 'fail to find permanent families'}
vaccine information sheets|potential risks|{'relation': 'are provided to'}
Washington, DC|Committee on Homeland Security|{'relation': 'is the location of'}
Committee on Transportation and Infrastructure|Washington, DC|{'relation': 'is located in'}
state veteran cemeteries|essential health care and memorial services|{'relation': 'provide'}
States|regulations|{'relation': 'have the option to tailor'}
competitive grant program|matching federal funding|{'relation': 'will allow state and local funding to be leveraged with'}
strains|vaccine solution|{'relation': 'requires a vaccine for'}
government programs|agencies|{'relation': 'are siloed'}
security guard|Federal Protective Service|{'relation': 'is associated with'}
Representative Murphy|Committee on House Administration|{'relation': 'are members of'}
Small Business Administration|minority|{'relation': 'has helped'}
Federal|Farm|{'relation': 'supports'}
Russia's war effort in Ukraine|consequences|{'relation': 'has been supported by'}
policymaking and oversight process|Derek Kilmer|{'relation': 'talked about'}
fossil fuels|climate change|{'relation': 'will cause'}
bill|subcommittee|{'relation': 'was passed by'}
China|oppressed around the world|{'relation': 'has a connection to'}
safety advancements|legislation|{'relation': 'are made in that'}
letters they receive|veterans|{'relation': 'is complex'}
AI|human skills|{'relation': 'are developing'}
vaccines|cancer screenings|{'relation': 'has an increase in completed'}
vaccine progress|Dr. Marks|{'relation': 'is concerned about'}
kinship connections|teens in foster care|{'relation': 'result in'}
second panel|Derek Kilmer|{'relation': 'talked about'}
Tribal Nations|BLM|{'relation': 'is committed to honoring a nation'}
immigration laws|cartel operatives|{'relation': 'can be used against them'}
Federal forest lands|proceeds|{'relation': 'are funding'}
HELP Committee|co|{'relation': 'should co'}
Representatives Cardenas|Committee on Energy and Commerce|{'relation': 'is a member of'}
health record|plan|{'relation': 'have yet to hear the plan for how to make it work and make sure that our veterans get the care that they need'}
comprehensive conservation plans|refuge|{'relation': 'is able to develop'}
regulatory requirements|smaller companies|{'relation': 'has an impact on'}
veteran system|healthcare information|{'relation': 'it probably is going on'}
February 5, 2024|Congress|{'relation': 'has been notified'}
Federal Emergency Management Agency's|Assistance to Firefighters Grant|{'relation': 'are managed by'}
entrepreneurs and employees with disabilities|barriers to opportunity|{'relation': 'have'}
Budget Committee|Natural Resources Committee|{'relation': 'has a member in common with'}
harm small businesses|small business leaders|{'relation': 'will be out of business within 6 months'}
regulatory landscape for entrepreneurs and employees with disabilities|making employment and small business ownership more attainable and sustainable|{'relation': 'will'}
Putin|Russia|{'relation': 'envies'}
House Small Business Committee|Congress|{'relation': 'is referred to as'}
EPA|regulations|{'relation': 'has'}
federal law enforcement agencies|federal government's border security responsibilities|{'relation': 'helps to meet'}
rights protection law enforcement|China|{'relation': 'pursues'}
subcommittee Chairman|Mr. Rouzer|{'relation': 'is'}
safe and effective medicines|U.S. pharmaceutical market|{'relation': 'wants to make broadly accessible'}
agriculture economy|farm financial crisis|{'relation': 'is threatened by'}
Tribal lands|Mines|{'relation': 'were operated from'}
Mr Chairman|Ms DeLauro|{'relation': 'thank you'}
International Port Security Program|U.S. Coast Guard|{'relation': 'is conducted by'}
Accountability|Government Officials|{'relation': 'is related to'}
China|crimes|{'relation': 'has committed'}
companies|veterans|{'relation': 'prey on'}
current economic landscape|Small Business Committee|{'relation': 'is fighting against'}
quality, timely, comprehensive mental healthcare and support|veterans|{'relation': 'are receiving'}
2024|2023|{'relation': 'compared to'}
Farm|Federal Government|{'relation': 'should support'}
China expertise|government departments|{'relation': 'is needed in'}
Border policies|American people|{'relation': 'are working for'}
regulation|cost|{'relation': 'adds an enormous amount of'}
AI Safety and Security Board|government|{'relation': 'will advise'}
lands, waters, and interests therein|U.S. Fish and Wildlife Service|{'relation': 'are administered by'}
large multinational corporations|small businesses|{'relation': 'taxes were raised for'}
Ways and Means Committee|field hearings|{'relation': 'has been to several different places across the country'}
DHS|administration|{'relation': 'is supporting'}
National Institute of Standards and Technology's Cybersecurity Framework|National Cyber Director|{'relation': 'is related to'}
Department of Labor|employers|{'relation': 'is focused on'}
Office of the National Cyber Director|cyber overregulation|{'relation': 'has acknowledged'}
FBI|law enforcement|{'relation': 'is a part of'}
The tens of millions of Americans who are unable to afford or unable to access dental care|The healthcare crisis in America|{'relation': 'are a part of'}
Youth entering the foster care system|Youth in foster care|{'relation': 'has decreased'}
congress|Department of Labor|{'relation': 'has worked with'}
Mrs.|subcommittee|{'relation': 'is a member of'}
tribal organizations|Native Hawaiian organizations|{'relation': 'shall formalize a role'}
monitoring efforts|adverse health effects|{'relation': 'reported following COVID'}
Vet Center Inspection Program|Veterans|{'relation': 'is designed to help provide services to'}
public lands|Federal lands|{'relation': 'are'}
Representatives Williams|Committee on Small Business|{'relation': 'is a part of'}
Chinese Communist Party|Chinese people|{'relation': 'are worried about'}
new and beginning farmers|significant barriers|{'relation': 'face'}
reform legislation|Congress|{'relation': 'is associated with'}
Public Regulation Commission|agencies|{'relation': 'hodgepodge of'}
local police departments|Federal law enforcement|{'relation': 'should also be involved'}
Individuals with Disabilities|Disability Employment Incentives Act|{'relation': 'may benefit from'}
Members of the Committee, and our witnesses|Library of Congress|{'relation': 'is being discussed by'}
bipartisan|subject|{'relation': 'has been'}
America's farmers and ranchers|growing economic and environmental pressures|{'relation': 'face'}
National Guard|reserve|{'relation': 'is a part of'}
full Committee|Chairman Steil|{'relation': 'is grateful to'}
physician|Veterans Affairs|{'relation': 'served as both an academic and clinical leader for'}
climate change risks|country|{'relation': 'confronting our'}
cyber threats|critical infrastructure sectors|{'relation': 'are related to'}
Refuge Improvement Act|Fish and Wildlife Service|{'relation': 'mandated'}
employees|Senator Van Hollen|{'relation': 'was mentioned by'}
state veteran cemeteries|honor those who have served in the defense of our nation|{'relation': 'provide essential health care and memorial services to'}
challenges and potential solutions|Derek Kilmer|{'relation': 'talked about'}
FEMA's mitigation programs|public safety|{'relation': 'improves'}
regulatory burdens|industry|{'relation': 'is in'}
Chairman Comer|Chairman Comer|{'relation': 'is the chairman'}
borrowing|national debt|{'relation': 'has contributed to'}
standards and rules|small businesses|{'relation': 'being applied to'}
AbilityOne non|AbilityOne Program|{'relation': 'are required to place workers with disabilities into more segregated settings due to the seventy'}
enforcement|regulation|{'relation': 'is used as'}
tribal entity|Bureau of Indian loan guarantee program|{'relation': 'has worked with'}
House Committee on Transportation and Infrastructure|Members|{'relation': 'is addressed by'}
May 17, 2024|Department|{'relation': 'has been issued by'}
drug costs|health care costs|{'relation': 'have not increased significantly'}
drug supply|public health|{'relation': 'is critical to'}
FBI|law enforcement agencies|{'relation': 'is a part of'}
regulatory activity|rulemakings|{'relation': 'can generate'}
safety management|National Transportation Safety Board|{'relation': 'has been recommended by'}
threats|potential threats|{'relation': 'to U.S.'}
Oversight and Accountability Committee|Washington|{'relation': 'is providing a check and balance on the role and power of'}
disabled individuals|accessibility|{'relation': 'is associated with'}
conservation actions|fish and wildlife|{'relation': 'needed for their recovery'}
the interest rates|inflation|{'relation': 'are related to'}
Joint Congressional Committee on Veterans' Affairs|American people|{'relation': 'serve'}
conversation|Derek Kilmer|{'relation': 'talked about'}
training people|apprenticeship programs|{'relation': 'is a way to'}
Employee|VA medical center|{'relation': 'has policies regarding'}
FEMA|codes and standards|{'relation': 'are comprehensive and have demonstrated mitigation benefits'}
tax policies|incentives|{'relation': 'has'}
employees|safety|{'relation': 'features'}
conservation measures|endangered species|{'relation': 'benefit from'}
especially for small and midsized businesses|limited resources|{'relation': 'pose'}
https://www.amnesty.org/en/latest/news/2024/01/china|PRC|{'relation': 'has link'}
National Cyber Strategy|initiative|{'relation': 'is achieving'}
Federal Government|taxpayers of America|{'relation': 'works for'}
near real|impacts of COVID|{'relation': 'research on'}
American farmers and ranchers|wildlife conservation|{'relation': 'hold dear'}
Healthcare workers|COVID|{'relation': 'were vaccinated with'}
subcommittees|holding|{'relation': 'is related to'}
cost of pharmaceuticals|medicine|{'relation': 'bringing down the cost of'}
Massive Deficit Spending|Inflation|{'relation': 'caused'}
the public|Senator Van Hollen|{'relation': 'was mentioned by'}
Vaccine Injuries|Vaccines|{'relation': 'are caused by'}
Human Trafficking|Mexican Cartels|{'relation': 'are cashing in on'}
Department of Labor|Question|{'relation': 'is addressed in'}
health data|COVID|{'relation': 'enables the surveillance of the impact of'}
low|rural communities|{'relation': 'disproportionately impacts'}
Long COVID|NIH|{'relation': 'is being researched by'}
Chinese influence|national security vulnerabilities|{'relation': 'has'}
lower income Americans|affordable dental care|{'relation': 'especially have a problem with'}
Subcommittee Clerk|Tuesday, January 23, 2024|{'relation': 'submit questions to'}
Member of Subcommittee|Member of Committee|{'relation': 'are in the same Committee'}
death|vaccine|{'relation': 'caused'}
COVID|hospitals and physician groups|{'relation': 'was working in'}
cyber|U.S. Coast Guard|{'relation': 'pose a significant threat'}
Smaller tribes|supplemental source of funding|{'relation': 'do not have'}
decision|Senator Van Hollen|{'relation': 'has been talked about by'}
the board|special committee|{'relation': 'made permanent'}
transparency|veterans|{'relation': 'are being provided with'}
Tribal corporations|Oklahoma Indian Welfare Act|{'relation': 'are Federally chartered under'}
grassroots organizations|veterans|{'relation': 'makes it easier to ensure eyes on as many veterans as possible'}
Senator Grassley|committee|{'relation': 'is a member of'}
Senator Grassley|Committee|{'relation': 'is a member of'}
Infrastructure protection|The Coast Guard|{'relation': 'must develop'}
Committee on Homeland Security Subcommittee on Border Security and Enforcement|Thursday, March 21, 2024|{'relation': 'is meeting'}
US Government|Tribal, environmental, and natural resources|{'relation': 'protecting'}
NCA|Veterans Service Organizations|{'relation': 'are supported by'}
Tribal government economic development activity|taxation|{'relation': 'constitutional and treaty support for exempting from'}
Congress|process|{'relation': 'makes its way through the'}
Representatives Veasey|Committee on Energy and Commerce|{'relation': 'is a member of'}
state agencies|sustainable wildlife management|{'relation': 'are committed to'}
tribe|revenue|{'relation': 'can retain'}
FEMA|Mitigation funding|{'relation': 'is targeting'}
unaccredited representatives|veterans|{'relation': 'are taking advantage of'}
many national efforts to include more people with disabilities in the American workforce|the current system|{'relation': 'are related to'}
Tribal governments|clearinghouse|{'relation': 'can ease the burden on'}
Chinese Americans|Chinese Government|{'relation': 'to harass stalk blackmail or worse'}
Department of State|DHS|{'relation': 'works with'}
my colleagues|COVID|{'relation': 'know that vaccines are safe'}
reproductive healthcare|abortion providers|{'relation': 'is related to'}
Southern U.S. Border|Cartels|{'relation': 'are controlled by'}
new treatments for long COVID|emerge|{'relation': 'may'}
agriculture policy|farm bill|{'relation': 'needs to pass'}
U.S. Fish and Wildlife Service administration|Endangered Species Act|{'relation': 'is administering'}
Vietnam War|veterans|{'relation': 'served in'}
Legislative Proposal|Congress|{'relation': 'in fiscal year 2025'}
American industry|Federal agencies|{'relation': 'are being forced burdensome regulations by'}
tribe or tribal entity|Tribal Energy Loan Guarantee Program|{'relation': 'has no guarantee of obtaining the subsidy from'}
fossil fuel industry|oil and gas industry|{'relation': 'is a part of'}
President's budget request|Congress|{'relation': 'for Fiscal Year 2024'}
participating Tribes|unique needs|{'relation': 'meets'}
national debt|interest rates|{'relation': 'will drive up'}
China|American technology|{'relation': 'is trying to keep out of'}
Chairman of the Subcommittee on Oversight|U.S. Capitol|{'relation': 'works at'}
Committee on Oversight and Accountability|Subcommittee on Economic Growth, Energy Policy, and Regulatory Affairs|{'relation': 'is a part of'}
public understanding of and confidence in vaccine safety system|vaccine safety system|{'relation': 'is bolstered by'}
oil and gas|economy|{'relation': 'promotes'}
persons with disabilities|employees|{'relation': 'are affected by'}
vaccination|long COVID|{'relation': 'high probability of'}
Federal departments|enabling legislation|{'relation': 'has a need for'}
Congress|States|{'relation': 'is working with'}
Congress|laws|{'relation': 'is subject to'}
organized crime|cartels|{'relation': 'is a danger at the southern border'}
VetSuccess on Campus|VA VITAL Program|{'relation': 'is related to'}
National Institute of Standards & Technology|Framework for Improving Critical Infrastructure Cybersecurity|{'relation': 'has developed'}
government debt|inflation|{'relation': 'is a big increase in'}
FEMA's Hazard Mitigation Assistance programs|have the potential to play a pivotal role in this effort by empowering communities to take proactive steps toward resilience|{'relation': 'do'}
research safety|long COVID|{'relation': 'has a role in'}
this has been going on|the reason why this Committee was created|{'relation': 'for'}
Committee on Homeland Security Subcommittee on Border Security and Enforcement|U.S. House of Representatives|{'relation': 'is a part of'}
energy resources|domestic economic growth|{'relation': 'is essential to'}
Communist Party officials|China|{'relation': 'are controlled by'}
Chairman of the Committee|Representative Dingell|{'relation': 'was appreciated by'}
Federal Government|government|{'relation': 'is related to'}
Committee on Transportation and Infrastructure|subcommittee on Highways and Transit|{'relation': 'is a part of'}
Committee on Transportation and Infrastructure|House of Representatives|{'relation': 'is related to'}
bipartisan agreement|subcommittee|{'relation': 'is making this work'}
Departments of Defense|Federal Government|{'relation': 'are addressing'}
Congress|pathway|{'relation': 'has given'}
Federal Government|Federal agencies|{'relation': 'is imposing the right requirements on'}
vaccine regulation|Dr. Marks|{'relation': 'is concerned about'}
deadly virus|vaccine|{'relation': 'is telling us to take'}
Communist Chinese|Chinese Communist Party|{'relation': 'is led by'}
Federal programs|Youth in the foster care system|{'relation': 'navigate a maze of'}
Tax Cuts and Jobs Act|small businesses|{'relation': 'eased the burden on'}
Homelessness|Young individuals in foster care|{'relation': 'is an obstacle'}
U.S. authorities|Chinese nationals|{'relation': 'were concerned about'}
society|vaccines|{'relation': 'thinks are not safe and effective'}
interviews|Committee|{'relation': 'were taken by this Committee'}
inflation|America|{'relation': 'issue'}
the Transportation and Infrastructure Committee|this subcommittee|{'relation': 'is part of'}
intensified military action in Ukraine|Russia|{'relation': 'is supported by'}
the New Committee|mechanism|{'relation': 'has a different one'}
national security issue|Securing the border|{'relation': 'is'}
Hon. Derek Kilmer|Member of Congress|{'relation': 'is a'}
Biden Administration|policy issue|{'relation': 'is a'}
medication costs|good health|{'relation': 'are barriers to'}
Veterans Affairs Supportive Housing|Federal Government|{'relation': 'is a permanent effort of'}
deficit spending|inflation|{'relation': 'has fueled'}
House Committee on Transportation and Infrastructure|Subcommittee on Highways and Transit|{'relation': 'has a Subcommittee on'}
workplace safety|concerned about|{'relation': 'is'}
accessibility and accountability|veterans|{'relation': 'are benefiting from'}
regulatory action|small businesses|{'relation': 'has negative effects on'}
the Federal Bureau of Investigation|the origins of COVID|{'relation': 'is concluding'}
Chairman of the Committee on House Administration|legislation|{'relation': 'will yield on'}
VA hospital|care|{'relation': 'can get locally'}
Committee Clerk|Committee|{'relation': 'submit questions'}
Veterans STAND Act|veterans|{'relation': 'will make it easier for'}
Rural|rural American|{'relation': 'has been successful in improving the lives of those who live in our rural communities'}
critical issue|vaccine safety|{'relation': 'is discussing'}
Subcommittee Members|Subcommittee on Modernization|{'relation': 'are members of'}
Center for Research on Disability|2024|{'relation': 'published a study on the current state of employment for people with disabilities'}
Tribal sovereignty and self|approach|{'relation': 'is consistent with'}
policy|committee|{'relation': 'has been helpful in ensuring'}
OMB|Tribal Nations|{'relation': 'should provide a full accounting of Federal funding to'}
Federal Government|resources|{'relation': 'has'}
help|committee|{'relation': 'thank you for hearing us out on'}
Budget Deficits|National Debt|{'relation': 'has increased'}
Transnational criminal organizations|Fentanyl|{'relation': 'are trafficking in'}
Chinese Communist Party|citizens|{'relation': 'has control over'}
youth aging out of foster care|homelessness|{'relation': 'is particularly for'}
federal regulatory agencies|regulatory rulemaking process|{'relation': 'should include'}
inflation|certain reports|{'relation': 'are a concern'}
rural community|economics|{'relation': 'has different'}
habitat management and conservation|Fish and Wildlife Service|{'relation': 'has partnerships with'}
Member offices|Derek Kilmer|{'relation': 'talked about'}
vaccine solution|delivery|{'relation': 'is an issue with'}
President's FY 2025 Budget|Department's mission|{'relation': 'is supporting'}
pandemic|Long Covid|{'relation': 'is an example of'}
AI|AI protection|{'relation': 'entails'}
Veteran community|support|{'relation': 'is appreciated'}
Forest Service|technical assistance|{'relation': 'is related to'}
cyber|agencies|{'relation': 'are being guarded against by'}
abortion providers|reproductive healthcare|{'relation': 'are providing'}
VA/DoD|Casualty Assistance Program|{'relation': 'is a cooperative service'}
Federal funding|NGO's|{'relation': 'are providing to'}
human rights violations|Chinese Communist Party|{'relation': 'committed by'}
VA|VA offices|{'relation': 'has partnered with'}
cheap energy|fossil fuel industries|{'relation': 'generate'}
taxpayer|Congress|{'relation': 'has oversight of'}
renewable energy production|fossil fuels|{'relation': 'is cheaper than'}
fossil fuels|energy options|{'relation': 'are needed'}
veterans|those who appreciate their sacrifice|{'relation': 'are a group of'}
Chairman|legislation|{'relation': 'work with'}
community care program|VA|{'relation': 'is part of'}
vaccine surveillance systems|future public health crises|{'relation': 'can better prepare our Nation for'}
legislative hearing|Derek Kilmer|{'relation': 'talked about'}
economic hardship|Tribal Nations|{'relation': 'must be alleviated for'}
Tribal Self|United States|{'relation': 'has been pursued by'}
Nation's vaccine safety systems|deficiencies in compensation programs|{'relation': 'need to be addressed'}
Tribal forestry programs|State and Federal counterparts|{'relation': 'receive less than'}
energy|economy|{'relation': 'has a direct impact on'}
Members of the House Committee on Small Business|Small Business|{'relation': 'are members of'}
policymaking|Derek Kilmer|{'relation': 'talked about'}
Public Confidence|Vaccines|{'relation': 'is a critical component of'}
distinguished subcommittee Members|thank you for the opportunity to testify|{'relation': 'is expressed'}
new institute|long COVID|{'relation': 'will help address the issue of'}
Tribal self|economic development|{'relation': 'pursue'}
evidence|Senator Van Hollen|{'relation': 'has been provided by'}
COVID papers|vaccine|{'relation': 'can help get'}
public health|COVID|{'relation': 'has been lived on the front line of'}
government's handling|COVID|{'relation': 'have concerns about'}
Veteran community|advocacy|{'relation': 'is supported by'}
Chinese authorities|Shanghai establishment|{'relation': 'has a relationship with'}
Committee Members|today|{'relation': 'spoke'}
small businesses|increased governmental paperwork and regulations|{'relation': 'are challenged with'}
reproductive care|abortion providers|{'relation': 'are being denied'}
ships|Coast Guard|{'relation': 'are part of'}
Tribal|employment and training services|{'relation': 'support'}
Committee on Homeland Security|Department of Homeland Security|{'relation': 'conducting oversight of'}
Coast Guard|security|{'relation': 'strengthen'}
three key areas|the Committee|{'relation': 'consider'}
President Biden|Biden|{'relation': 'is the administration of'}
Tribal Conservation Law Enforcement Officers|funding|{'relation': 'would ensure they are effectively supported'}
VA|VA|{'relation': 'maintains'}
2025|fiscal year|{'relation': 'is'}
Indian tribe|Tribal government|{'relation': 'is equivalent to'}
tribal economies|economic opportunities|{'relation': 'are being expanded for'}
Land and Resource Management Agencies|US Forest Service|{'relation': 'are related to'}
FEMA regulations|assist more people|{'relation': 'help'}
Secretary|VA|{'relation': 'vision of putting Veterans and their survivors at the center of everything we do'}
today's hearing|Subcommittee|{'relation': 'will conclude'}
risk|long COVID|{'relation': 'of'}
Oversight Committee|Central Institution|{'relation': 'is related to'}
regulations and regulatory costs|small businesses|{'relation': 'is unsustainable'}
Veterans|today's programs|{'relation': 'are deterred from using'}
cartel pipelines|drug trafficking|{'relation': 'is happening across the country'}
Funding uncertainty|Tribes|{'relation': 'causes to redistribute funds from other Tribal programs'}
VA|clinicians|{'relation': 'is addressing issues with'}
regulatory agencies|regulations|{'relation': 'write'}
VA website|Vet Center National Resource Directory|{'relation': 'found information on'}
vaccine safety system|vaccine confidence in country|{'relation': 'bolsters'}
United States Representatives|Oversight Subcommittee|{'relation': 'is a part of'}
Ms.|Chairman|{'relation': 'is'}
Department's budget|2025|{'relation': 'is being discussed for'}
Executive Branch|Committee|{'relation': 'has discussions about'}
FEMA|individuals|{'relation': 'is supporting'}
vaccine policy|Dr. Marks|{'relation': 'is concerned about'}
vaccine safety|government's handling|{'relation': 'have concerns about'}
rural communities|livelihoods|{'relation': 'are'}
President's budget request|fiscal year 2025|{'relation': 'includes'}
Members and staff|Derek Kilmer|{'relation': 'talked about'}
economically significant rules|small businesses|{'relation': 'have a significant impact on'}
China|Communist|{'relation': 'has a relationship with'}
China|China|{'relation': 'is the subject of'}
federal system of grants|Tribal Governments|{'relation': 'has set aside funding for'}
Fiscal Year 2025 Budget Request|United States|{'relation': 'is a department of'}
tax cuts|small businesses|{'relation': 'is benefiting'}
small businesses|Committee on Small Business|{'relation': 'has access to'}
rural economies|farmers|{'relation': 'suffer'}
FEMA|assistance|{'relation': 'can work with'}
health outcomes|veterans|{'relation': 'is being referred to as'}
tribal economic health|tribes|{'relation': 'can be undermined by reliance on one industry'}
economic opportunities|tribal communities|{'relation': 'are being expanded for'}
tribal government land|local government concerns|{'relation': 'relate to'}
Senator Van Hollen|Senator|{'relation': 'is a'}
VA health care system|Specialized programs|{'relation': 'prevents and delays many veterans from receiving the care they need'}
Congress|legislation|{'relation': 'grapples with'}
Chairman Peters|Committee|{'relation': 'is a member of'}
family|veterans|{'relation': 'are part of'}
Committee|concerns|{'relation': 'have heard'}
